date,strategy,000012,000852,000905,399300,H11001
2019-01,max_sharpe,0.9999999999939334,4.1699308533892626e-12,1.896596554811511e-12,0.0,0.0
2019-02,equal_weight,0.2,0.2,0.2,0.2,0.2
2019-02,minimum_variance,0.9929163881378236,4.936129995058126e-18,0.0,0.007083611862176583,0.0
2019-02,max_sharpe,0.9940203106926458,1.95815583932644e-08,1.8339414169615578e-08,0.00597305972161481,6.591664766766937e-06
2019-03,equal_weight,0.2,0.2,0.2,0.2,0.2
2019-03,minimum_variance,0.9948430303581147,0.0,4.163336342344337e-17,0.005156969641885155,5.551115123125783e-17
2019-03,max_sharpe,0.9834685289837787,0.0,0.0,0.016531471016221464,0.0
2019-04,equal_weight,0.2,0.2,0.2,0.2,0.2
2019-04,minimum_variance,0.9894898853276468,0.0,0.0,0.010510114672353358,0.0
2019-04,max_sharpe,0.9821776579926896,1.8290705808829844e-09,1.7450345872376023e-09,0.017822165083144322,1.7335006089633874e-07
2019-05,equal_weight,0.2,0.2,0.2,0.2,0.2
2019-05,minimum_variance,0.988458869860302,0.0,1.3769367590565906e-17,0.011541130139697823,1.3568790188656088e-16
2019-05,max_sharpe,0.9785304476975348,0.0,0.0,0.0214695523024652,0.0
2019-06,equal_weight,0.2,0.2,0.2,0.2,0.2
2019-06,minimum_variance,0.9892099670313023,1.68398362004141e-17,4.977330629888099e-18,0.010790032968697488,2.9016675536574385e-16
2019-06,max_sharpe,0.9858646373752794,5.920811037577628e-13,2.415167423764809e-13,0.014135362623886942,0.0
2019-07,equal_weight,0.2,0.2,0.2,0.2,0.2
2019-07,minimum_variance,0.9904599500187897,7.806255641895632e-18,3.469446951953614e-18,0.009540049981210687,0.0
2019-07,max_sharpe,0.983047233963276,0.0,0.0,0.01695276603672396,0.0
2019-08,equal_weight,0.2,0.2,0.2,0.2,0.2
2019-08,minimum_variance,0.9902359582422552,1.929879867024198e-17,0.0,0.009764041757744797,3.6700243538634325e-17
2019-08,max_sharpe,0.9836543183511286,1.4185544358610065e-11,1.2439863176536598e-11,0.016345681309932896,3.123131587872384e-10
2019-09,equal_weight,0.2,0.2,0.2,0.2,0.2
2019-09,minimum_variance,0.9887213748545897,1.734723475976807e-17,0.0,0.011278625145410743,0.0
2019-09,max_sharpe,0.9857700385964507,2.0151118155507638e-12,8.70216939622002e-13,0.014229961400663951,0.0
2019-10,equal_weight,0.2,0.2,0.2,0.2,0.2
2019-10,minimum_variance,0.9887668783654044,0.0,5.149960319306146e-18,0.011233121634595717,0.0
2019-10,max_sharpe,0.9838066307826449,2.011742573557342e-10,1.8064100869751552e-10,0.016193365289094055,3.5464457003682093e-09
2019-11,equal_weight,0.2,0.2,0.2,0.2,0.2
2019-11,minimum_variance,0.9877279716429923,0.0,8.673617379884035e-18,0.01227202835700766,4.228388472693467e-18
2019-11,max_sharpe,0.9825377504372963,2.729750973777426e-11,2.366727029188959e-11,0.017462249511738914,0.0
2019-12,equal_weight,0.2,0.2,0.2,0.2,0.2
2019-12,minimum_variance,0.99108580355436,0.0,2.5297286755566885e-18,0.00891419644563983,2.0122792321330962e-16
2019-12,max_sharpe,0.9918692986586811,0.0,0.0,0.00813070134062524,6.936922594187333e-13
2020-01,equal_weight,0.2,0.2,0.2,0.2,0.2
2020-01,minimum_variance,0.986654885623399,3.3463592938336e-17,0.0,0.013345114376601198,0.0
2020-01,max_sharpe,0.9818824883125375,0.0,0.0,0.018117511687462402,0.0
2020-02,equal_weight,0.2,0.2,0.2,0.2,0.2
2020-02,minimum_variance,0.9874681503809442,5.551115123125783e-17,0.0,0.012531849619055579,2.7755575615628914e-16
2020-02,max_sharpe,0.9849005224142213,0.0,0.0,0.01509947758577863,0.0
2020-03,equal_weight,0.2,0.2,0.2,0.2,0.2
2020-03,minimum_variance,0.9864698230866362,0.0,0.0,0.013530176913363761,5.551115123125783e-17
2020-03,max_sharpe,0.9855284450060567,8.31496199645628e-10,7.679643482689245e-10,0.014471511953021817,4.144146093052688e-08
2020-04,equal_weight,0.2,0.2,0.2,0.2,0.2
2020-04,minimum_variance,0.9802116232292765,0.0,1.4365678785432934e-17,0.01978837677072342,9.177771390089795e-17
2020-04,max_sharpe,0.9685269270867967,0.0,0.0,0.017385286522888403,0.014087786390314914
2020-05,equal_weight,0.2,0.2,0.2,0.2,0.2
2020-05,minimum_variance,0.9833472146663468,3.198396408832238e-18,6.667843360785852e-18,0.016652785333653317,0.0
2020-05,max_sharpe,0.9206293189382528,0.0,0.0,0.017365771576872833,0.06200490948487435
2020-06,equal_weight,0.2,0.2,0.2,0.2,0.2
2020-06,minimum_variance,0.9849467635411417,0.0,0.0,0.015053236458858199,1.143699699774886e-16
2020-06,max_sharpe,0.9864145134360421,6.77754368519439e-11,5.444857608958868e-11,0.013585485520991494,9.207423691505982e-10
2020-07,equal_weight,0.2,0.2,0.2,0.2,0.2
2020-07,minimum_variance,0.9826030940312953,0.0,2.3418766925686896e-17,0.017396905968704964,0.0
2020-07,max_sharpe,0.9828340892440468,1.4402504488545332e-10,1.1767691511827265e-10,0.017165906361384865,4.132866458383419e-09
2020-08,equal_weight,0.2,0.2,0.2,0.2,0.2
2020-08,minimum_variance,0.9823677613071448,0.0,2.1304572689340162e-17,0.017632238692855268,0.0
2020-08,max_sharpe,0.9796753647463501,0.0,0.0,0.020324635253476008,1.739057133484598e-13
2020-09,equal_weight,0.2,0.2,0.2,0.2,0.2
2020-09,minimum_variance,0.9820210862877305,0.0,2.0111950299606107e-17,0.017978913712269864,0.0
2020-09,max_sharpe,0.9789966804879604,6.040580261704942e-10,5.572820070230414e-10,0.021003313379558606,4.971140987707217e-09
2020-10,equal_weight,0.2,0.2,0.2,0.2,0.2
2020-10,minimum_variance,0.9831483699611071,4.30970363562988e-18,0.0,0.016851630038893003,0.0
2020-10,max_sharpe,0.9818601904649774,1.3180574020366488e-08,1.2188471205667422e-08,0.018139281295702813,5.02870274507406e-07
2020-11,equal_weight,0.2,0.2,0.2,0.2,0.2
2020-11,minimum_variance,0.9837183982996488,0.0,7.31128916811253e-18,0.016281601700351745,0.0
2020-11,max_sharpe,0.9824743919941534,3.771008102814279e-10,3.415339614311168e-10,0.0175256035841446,3.703067246477133e-09
2020-12,equal_weight,0.2,0.2,0.2,0.2,0.2
2020-12,minimum_variance,0.9817885774313595,1.452830911130576e-17,1.3227266504323154e-17,0.018211422568640553,0.0
2020-12,max_sharpe,0.9800044944664581,0.0,0.0,0.019995505533541964,0.0
2021-01,equal_weight,0.2,0.2,0.2,0.2,0.2
2021-01,minimum_variance,0.9825113091743541,1.4365678785432934e-17,0.0,0.01748869082564611,0.0
2021-01,max_sharpe,0.9796121477600034,0.0,0.0,0.02038785223999659,0.0
2021-02,equal_weight,0.2,0.2,0.2,0.2,0.2
2021-02,minimum_variance,0.9821670085216689,7.470237256675516e-18,0.0,0.017832991478331103,6.926976108834927e-17
2021-02,max_sharpe,0.9804156547732659,1.179396524654912e-12,7.235723570317603e-13,0.019584345224831233,0.0
2021-03,equal_weight,0.2,0.2,0.2,0.2,0.2
2021-03,minimum_variance,0.9824578539924088,0.0,4.225274556124273e-18,0.01754214600759098,2.881809374466471e-16
2021-03,max_sharpe,0.9785864149005774,0.0,0.0,0.021413585099422542,0.0
2021-04,equal_weight,0.2,0.2,0.2,0.2,0.2
2021-04,minimum_variance,0.9831643390638358,0.0,2.0599841277224584e-18,0.016835660936164135,1.454999315475547e-16
2021-04,max_sharpe,0.9800329238063794,0.0,0.0,0.019967076143791427,4.982933639065515e-11
2021-05,equal_weight,0.2,0.2,0.2,0.2,0.2
2021-05,minimum_variance,0.9839201558084528,1.0083080204115191e-17,0.0,0.016079844191547163,8.42425088021237e-17
2021-05,max_sharpe,0.9791102695055729,0.0,0.0,0.020889730494427057,0.0
2021-06,equal_weight,0.2,0.2,0.2,0.2,0.2
2021-06,minimum_variance,0.9841894257480496,2.6020852139652106e-18,7.589415207398531e-19,0.0158105742519503,1.2880321809127793e-16
2021-06,max_sharpe,0.9784916472791132,1.2780873224299913e-09,1.197796467876578e-09,0.02150832909683485,2.114816825409117e-08
2021-07,equal_weight,0.2,0.2,0.2,0.2,0.2
2021-07,minimum_variance,0.9846643436697626,0.0,2.98544602946477e-18,0.015335656330237249,1.4024544106612963e-16
2021-07,max_sharpe,0.9760585218204527,0.0,0.0,0.023941478179547407,0.0
2021-08,equal_weight,0.2,0.2,0.2,0.2,0.2
2021-08,minimum_variance,0.9828704075025111,1.7160776577081576e-17,0.0,0.017129592497488987,0.0
2021-08,max_sharpe,0.977568955738774,0.0,0.0,0.022431044261225875,0.0
2021-09,equal_weight,0.2,0.2,0.2,0.2,0.2
2021-09,minimum_variance,0.9810424379337246,2.1141942363467336e-17,1.6263032587282567e-19,0.018957562066275628,0.0
2021-09,max_sharpe,0.9745035230309852,2.4722724885733235e-15,1.551631844044985e-13,0.025496476968857186,0.0
2021-10,equal_weight,0.2,0.2,0.2,0.2,0.2
2021-10,minimum_variance,0.9812736083166742,1.3037531124138191e-17,0.0,0.018726391683326103,0.0
2021-10,max_sharpe,0.9752939066632654,1.598706631114587e-13,1.4402657382084834e-13,0.02470609333623196,1.9879143370613738e-13
2021-11,equal_weight,0.2,0.2,0.2,0.2,0.2
2021-11,minimum_variance,0.9798666037153289,1.1492543028346347e-17,9.215718466126788e-18,0.020133396284670913,1.7911019889460533e-16
2021-11,max_sharpe,0.9702680182499022,5.379341376537519e-15,0.0,0.029731981750092517,0.0
2021-12,equal_weight,0.2,0.2,0.2,0.2,0.2
2021-12,minimum_variance,0.979729899191528,2.3960868011929648e-17,3.7947076036992655e-18,0.02027010080847212,0.0
2021-12,max_sharpe,0.9705657892358475,0.0020698153242654335,6.55136887658309e-13,0.027364395439231953,0.0
2022-01,equal_weight,0.2,0.2,0.2,0.2,0.2
2022-01,minimum_variance,0.9817763615318474,0.0,0.0,0.018223638468152253,2.6064220226551527e-16
2022-01,max_sharpe,0.9692712501090933,0.0015566245168688346,4.782349348730841e-12,0.0291721253119858,5.726966503184175e-11
2022-02,equal_weight,0.2,0.2,0.2,0.2,0.2
2022-02,minimum_variance,0.9792344344887445,0.0,3.346047261215617e-18,0.02076556551125551,9.539481170523494e-17
2022-02,max_sharpe,0.9726072047809059,8.216780091263551e-14,0.0,0.027392795219011917,0.0
2022-03,equal_weight,0.2,0.2,0.2,0.2,0.2
2022-03,minimum_variance,0.9756795165928733,7.589415207398531e-18,0.0,0.02432048340712694,0.0
2022-03,max_sharpe,0.971863906954131,0.0002591348401023618,9.887710727445657e-11,0.027876956902446997,1.2044424976952823e-09
2022-04,equal_weight,0.2,0.2,0.2,0.2,0.2
2022-04,minimum_variance,0.978323426466664,1.3118846287074604e-17,0.0,0.021676573533336196,0.0
2022-04,max_sharpe,0.9794805769020318,0.0,6.104511854494238e-11,0.020519421562493277,1.4744296458370987e-09
2022-05,equal_weight,0.2,0.2,0.2,0.2,0.2
2022-05,minimum_variance,0.9788060002313682,0.0,1.0679544769900013e-17,0.021193999768631504,2.9227395401869765e-16
2022-05,max_sharpe,0.9819729316800047,6.404515525691596e-14,6.317569318951562e-14,0.018027068318894862,9.732721398869328e-13
2022-06,equal_weight,0.2,0.2,0.2,0.2,0.2
2022-06,minimum_variance,0.977733616141097,0.0,0.0,0.02226638385890277,5.551115123125783e-17
2022-06,max_sharpe,0.9773844092300232,4.50661050496513e-14,0.0,0.02261559076993156,0.0
2022-07,equal_weight,0.2,0.2,0.2,0.2,0.2
2022-07,minimum_variance,0.9768393976408124,0.0,0.0,0.02316060235918749,0.0
2022-07,max_sharpe,0.9757060530349673,1.0522791947693484e-14,0.0,0.024293946965022035,0.0
2022-08,equal_weight,0.2,0.2,0.2,0.2,0.2
2022-08,minimum_variance,0.9778481717355217,1.5668670290927128e-17,0.0,0.022151828264478566,0.0
2022-08,max_sharpe,0.9788894136268043,0.0027858201250714264,0.0,0.018324766248124263,0.0
2022-09,equal_weight,0.2,0.2,0.2,0.2,0.2
2022-09,minimum_variance,0.9773249410659781,1.3010426069826053e-18,5.366800753803247e-18,0.02267505893402203,0.0
2022-09,max_sharpe,0.9788809021163553,0.002557851867208621,0.0,0.018561246016436005,0.0
2022-10,equal_weight,0.2,0.2,0.2,0.2,0.2
2022-10,minimum_variance,0.9794415347584096,2.5855401619028964e-17,0.0,0.02055846524159033,3.382710778154774e-17
2022-10,max_sharpe,0.9835953450435377,1.214817490001768e-05,1.1222483767883143e-12,0.016392506760169956,2.0270086419432666e-11
2022-11,equal_weight,0.2,0.2,0.2,0.2,0.2
2022-11,minimum_variance,0.9806279909590595,0.0,8.72782748850831e-18,0.019372009040940483,0.0
2022-11,max_sharpe,0.9856178140239426,3.7892638365343013e-13,0.008892005550268034,0.00549018042541047,0.0
2022-12,equal_weight,0.2,0.2,0.2,0.2,0.2
2022-12,minimum_variance,0.9776581238175295,0.0,1.463672932855431e-18,0.022341876182470518,7.968885967768458e-17
2022-12,max_sharpe,0.9795435335994064,0.0,0.007592799921083723,0.012863664270097924,2.2094118398911e-09
2023-01,equal_weight,0.2,0.2,0.2,0.2,0.2
2023-01,minimum_variance,0.9756637590532996,7.217811863212689e-18,0.0,0.024336240946700394,2.6446665592462224e-17
2023-01,max_sharpe,0.9814045266591229,0.00028335535844028716,2.8850256060010404e-12,0.018312117951188204,2.8363612687384333e-11
2023-02,equal_weight,0.2,0.2,0.2,0.2,0.2
2023-02,minimum_variance,0.97671917428319,1.6263032587282567e-18,1.7293024651143796e-17,0.023280825716810158,0.0
2023-02,max_sharpe,0.9793382230652499,0.00020768550277282927,2.2533849168977223e-13,0.020454091428873073,2.8788598032872364e-12
2023-03,equal_weight,0.2,0.2,0.2,0.2,0.2
2023-03,minimum_variance,0.9778683825048541,3.6033810854644036e-18,0.0,0.022131617495145913,7.418494251427074e-17
2023-03,max_sharpe,0.9801020991211927,0.0025212342582245457,2.6245832322262074e-12,0.01737666656492039,5.303790364872945e-11
2023-04,equal_weight,0.2,0.2,0.2,0.2,0.2
2023-04,minimum_variance,0.9826232412579503,0.0,8.558244374756543e-18,0.017376758742049882,0.0
2023-04,max_sharpe,0.9825520248371749,0.0006492569454180072,5.815007734053075e-09,0.016798611231293073,1.0117110637845517e-07
2023-05,equal_weight,0.2,0.2,0.2,0.2,0.2
2023-05,minimum_variance,0.9795408905479364,1.597517704758237e-17,1.0172745123180808e-17,0.020459109452063768,8.138196098544647e-17
2023-05,max_sharpe,0.981320430825901,0.0,2.1027578152273938e-08,0.018679080391181248,4.677553394975937e-07
2023-06,equal_weight,0.2,0.2,0.2,0.2,0.2
2023-06,minimum_variance,0.9781066311617004,0.0,1.3877787807814457e-17,0.02189336883829983,0.0
2023-06,max_sharpe,0.9809148687684159,0.0,9.10737624366786e-13,0.019085131216560487,1.4112975978829649e-11
2023-07,equal_weight,0.2,0.2,0.2,0.2,0.2
2023-07,minimum_variance,0.9802777203367257,0.0,0.0,0.019722279663274313,0.0
2023-07,max_sharpe,0.9843018169185958,0.0,0.0,0.015698183081404117,0.0
2023-08,equal_weight,0.2,0.2,0.2,0.2,0.2
2023-08,minimum_variance,0.9808965796838576,3.469446951953614e-17,0.0,0.019103420316142414,0.0
2023-08,max_sharpe,0.9868310385368911,5.637142615459425e-11,3.4923477074904485e-11,0.013168961371813817,0.0
2023-09,equal_weight,0.2,0.2,0.2,0.2,0.2
2023-09,minimum_variance,0.9807296544986361,0.0,2.7755575615628914e-17,0.019270345501363754,5.551115123125783e-17
2023-09,max_sharpe,0.9881914611402799,0.0,0.0,0.011808538859590942,1.292244539352204e-13
2023-10,equal_weight,0.2,0.2,0.2,0.2,0.2
2023-10,minimum_variance,0.9802673125023088,0.0,0.0,0.01973268749769099,5.551115123125783e-17
2023-10,max_sharpe,0.9881347076785549,1.094453872551407e-11,3.150240193749823e-12,0.011865292307350327,0.0
2023-11,equal_weight,0.2,0.2,0.2,0.2,0.2
2023-11,minimum_variance,0.9819469710538252,2.7755575615628914e-17,0.0,0.01805302894617475,1.1102230246251565e-16
2023-11,max_sharpe,0.9904151304246558,1.2079752616995202e-12,2.504905191682994e-13,0.009584869573885843,0.0
2023-12,equal_weight,0.2,0.2,0.2,0.2,0.2
2023-12,minimum_variance,0.9835672725479283,0.0,0.0,0.01643272745207187,0.0
2023-12,max_sharpe,0.9935115969728587,0.0,3.7125797765181717e-10,0.006488399328584391,3.327298936915817e-09
2024-01,equal_weight,0.2,0.2,0.2,0.2,0.2
2024-01,minimum_variance,0.9819743951918198,0.0,4.553649124439119e-18,0.018025604808180305,0.0
2024-01,max_sharpe,0.9943534223113122,4.80249893401266e-14,0.0,0.005646577687967672,6.720649546180952e-13
2024-02,equal_weight,0.2,0.2,0.2,0.2,0.2
2024-02,minimum_variance,0.9769050174411098,0.004363408346428253,0.0,0.018731574212461626,3.3545215216701507e-16
2024-02,max_sharpe,0.9933605844254189,0.006418563211384698,0.0,0.00022085222114715192,1.4204932588693747e-10
2024-03,equal_weight,0.2,0.2,0.2,0.2,0.2
2024-03,minimum_variance,0.983062089208381,0.002998990445775517,8.836247705756861e-18,0.013938920345843105,4.2121254401061847e-16
2024-03,max_sharpe,0.9943589969451745,0.005641003054825545,0.0,0.0,0.0
2024-04,equal_weight,0.2,0.2,0.2,0.2,0.2
2024-04,minimum_variance,0.9832459346108748,0.002514640988584357,1.0083080204115191e-17,0.01423942440054083,0.0
2024-04,max_sharpe,0.9939214928276683,0.005655994982428962,0.0,0.0004225121899028642,0.0
2024-05,equal_weight,0.2,0.2,0.2,0.2,0.2
2024-05,minimum_variance,0.9843697051771162,0.003204160613493286,0.0,0.012426134209390371,1.7289712684594619e-18
2024-05,max_sharpe,0.99470723815187,0.0052927618481299335,0.0,0.0,0.0
2024-06,equal_weight,0.2,0.2,0.2,0.2,0.2
2024-06,minimum_variance,0.9836065603441634,0.003712898503570434,0.0,0.012680541152266312,0.0
2024-06,max_sharpe,0.9956334660013423,0.00436653399865767,0.0,0.0,0.0
2024-07,equal_weight,0.2,0.2,0.2,0.2,0.2
2024-07,minimum_variance,0.9826941283699507,0.004127503825535393,2.710505431213761e-18,0.013178367804513728,7.528428835196221e-17
2024-07,max_sharpe,0.9959978711398508,0.0035559189321456076,0.0,0.00044620992800349147,0.0
2024-08,equal_weight,0.2,0.2,0.2,0.2,0.2
2024-08,minimum_variance,0.9852793981555921,0.006438430973777675,0.0,0.008282170870630143,5.551115123125783e-17
2024-08,max_sharpe,0.9958187448570637,0.00418125514293627,0.0,0.0,0.0
2024-09,equal_weight,0.2,0.2,0.2,0.2,0.2
2024-09,minimum_variance,0.9852703158359611,0.007348597300795439,0.0,0.007381086863243534,0.0
2024-09,max_sharpe,0.9966034456215781,0.003396554378396507,0.0,2.5230943094352467e-14,0.0
2024-10,equal_weight,0.2,0.2,0.2,0.2,0.2
2024-10,minimum_variance,0.9898976485530178,0.007918730951076928,0.0,0.0021836204959056124,0.0
2024-10,max_sharpe,0.9943554843144979,0.00564451568550202,0.0,0.0,0.0
2024-11,equal_weight,0.2,0.2,0.2,0.2,0.2
2024-11,minimum_variance,0.9901171110519206,0.009178751032680071,0.0,0.000704137915399396,0.0
2024-11,max_sharpe,0.9933267488466601,0.0066732511353945635,1.045355174764031e-13,1.221600989445961e-12,1.6619277270557914e-11
2024-12,equal_weight,0.2,0.2,0.2,0.2,0.2
2024-12,minimum_variance,0.9900866949546328,0.009913305045367322,3.269259270696404e-18,0.0,0.0
2024-12,max_sharpe,0.9936197013086194,0.006380298691348641,0.0,6.704351794096641e-15,2.527020476553169e-14
