date,strategy,HSREIT,GOLD,HSI,SPX,000012,000852,000905,399300,H11001
2018-05,equal_weight,0.1111111111111111,0.1111111111111111,0.1111111111111111,0.1111111111111111,0.1111111111111111,0.1111111111111111,0.1111111111111111,0.1111111111111111,0.1111111111111111
2018-05,minimum_variance,1.9610217810848425e-17,0.0012424237532834086,0.0,0.027845616874667054,0.9709119593720494,4.745527383209325e-17,1.6039171922625516e-18,1.1007798236606125e-19,9.734050384343449e-17
2018-05,max_sharpe,1.6355597635955279e-07,0.006516175811258413,6.713956991970079e-08,0.05341637565935138,0.9400595317269064,2.7243145145269768e-08,2.6757384233137318e-08,2.525200416321591e-08,7.606854403955648e-06
2018-06,equal_weight,0.1111111111111111,0.1111111111111111,0.1111111111111111,0.1111111111111111,0.1111111111111111,0.1111111111111111,0.1111111111111111,0.1111111111111111,0.1111111111111111
2018-06,minimum_variance,0.0,0.0016149010120081575,0.0,0.026973643465990696,0.9714114555220014,2.6331421635843e-17,9.438071477849935e-18,2.355266202813081e-17,0.0
2018-06,max_sharpe,2.3835670501839124e-07,0.007842772544369834,3.313569486439472e-08,0.05367992019857997,0.9384759976613951,2.0383581407109718e-08,2.0116705670853224e-08,1.9222456004607348e-08,9.783805119389754e-07
2018-07,equal_weight,0.1111111111111111,0.1111111111111111,0.1111111111111111,0.1111111111111111,0.1111111111111111,0.1111111111111111,0.1111111111111111,0.1111111111111111,0.1111111111111111
2018-07,minimum_variance,4.947390648031086e-18,0.0009036406028074241,3.86988010946567e-17,0.025671031415986482,0.9734253279812062,6.750687682925311e-18,4.394754391730562e-18,0.0,0.0
2018-07,max_sharpe,2.0584769463161577e-08,0.009688886396004057,1.2141019355959816e-09,0.05884475257517788,0.9314663328433591,2.2428164445648125e-09,2.173472742428118e-09,1.970298472672631e-09,0.0
2018-08,equal_weight,0.1111111111111111,0.1111111111111111,0.1111111111111111,0.1111111111111111,0.1111111111111111,0.1111111111111111,0.1111111111111111,0.1111111111111111,0.1111111111111111
2018-08,minimum_variance,3.9974698331972084e-17,2.4583047028289707e-17,0.0,0.022433976426418957,0.977566023573581,0.0,5.647868761999287e-17,2.3876948879494838e-18,0.0
2018-08,max_sharpe,0.0,0.018888453496313136,0.0,0.06130833688751579,0.9198032096159602,2.108249522994446e-13,0.0,0.0,0.0
2018-09,equal_weight,0.1111111111111111,0.1111111111111111,0.1111111111111111,0.1111111111111111,0.1111111111111111,0.1111111111111111,0.1111111111111111,0.1111111111111111,0.1111111111111111
2018-09,minimum_variance,0.0,4.000408194787863e-17,0.0,0.024419717463765124,0.9755802825362349,5.244982888999783e-18,9.168749857757467e-18,5.883279317212394e-18,1.0716842849020457e-16
2018-09,max_sharpe,7.795386079798046e-09,0.004506052086213247,5.568165662442562e-10,0.08605058086781431,0.9094405566026769,2.6057796326497163e-08,2.6019300982798785e-08,2.5218012073956943e-08,2.724795983415056e-06
2018-10,equal_weight,0.1111111111111111,0.1111111111111111,0.1111111111111111,0.1111111111111111,0.1111111111111111,0.1111111111111111,0.1111111111111111,0.1111111111111111,0.1111111111111111
2018-10,minimum_variance,0.0,1.5283008411346906e-17,3.37794879647932e-17,0.024192299501842866,0.975807700498157,1.856143574997185e-17,0.0,0.0,9.911422287915752e-17
2018-10,max_sharpe,0.0,0.007086766560175158,0.0,0.09991849503348,0.8929947356535611,9.374824154799396e-10,9.249851853030857e-10,8.903161253765926e-10,0.0
2018-11,equal_weight,0.1111111111111111,0.1111111111111111,0.1111111111111111,0.1111111111111111,0.1111111111111111,0.1111111111111111,0.1111111111111111,0.1111111111111111,0.1111111111111111
2018-11,minimum_variance,0.0,0.0,5.4658129444246335e-17,0.03955656152815167,0.9604434384718485,4.6001146937571595e-19,0.0,3.8263531445830674e-18,0.0
2018-11,max_sharpe,0.0,0.013098732647830777,0.0,0.07561517721944962,0.9112860901155145,8.949612655872281e-12,6.309946392540622e-12,1.9454376381558852e-12,0.0
2018-12,equal_weight,0.1111111111111111,0.1111111111111111,0.1111111111111111,0.1111111111111111,0.1111111111111111,0.1111111111111111,0.1111111111111111,0.1111111111111111,0.1111111111111111
2018-12,minimum_variance,3.2960585059885965e-17,0.002798428750909273,0.0,0.040021952896132654,0.9571796183529582,5.308626789407781e-17,1.8055668742128085e-17,0.0,0.0
