target_return,volatility,weight_000012,weight_000852,weight_000905,weight_399300,weight_H11001
0.03598562699417698,0.03497916814483793,0.9999999999999999,0.23699929233790998,-0.31184253161899544,0.21702283773025136,-0.14217959844916567
0.03726665383426956,0.029048995995819362,1.0,0.19288868674296453,-0.2557727990983747,0.18087766102837424,-0.1179935486729641
0.038547680674362136,0.023266045161592096,0.9999999999999999,0.14845245112384545,-0.19856783739034342,0.14392139491618655,-0.09380600864968858
0.03982870751445471,0.017774031947000404,1.0,0.10646801573836183,-0.14585280159506753,0.10865361111495174,-0.06926882525824607
0.04110973435454729,0.012948920756286054,1.0,0.06257324160094895,-0.08909975676197467,0.07148259173738993,-0.044956076576364294
0.042390761194639866,0.009828129182624072,1.0,0.01906496189604915,-0.033479222680154345,0.0350402447022149,-0.02062598391810968
0.04367178803473245,0.01006218332079045,0.9618907870382665,-0.016904287909452868,0.011386479871852382,0.006986991804719081,0.03664002919461501
0.044952814874825026,0.011819790212094117,0.7908891014064454,-0.020965752009161443,0.014144207768952213,0.005867293575132,0.21006514925863187
0.0462338417149176,0.01387780858746786,0.6183434017034887,-0.025428074860433882,0.017028688206311083,0.005397030549203121,0.3846589544014311
0.04751486855501018,0.016129316539464467,0.45765156047667704,-0.03661821095336465,0.029733645963480458,0.0009879005047560992,0.5482451040084511
0.04879589539510276,0.0184826530935993,0.27156230295162825,-0.033730904716725206,0.021650551665391673,0.005182931844590892,0.7353351182551146
0.05007692223519534,0.020922361179481555,0.09763385072683442,-0.03730459201347068,0.023362708815948558,0.005065727671348226,0.9112423047993394
0.051357949075287915,0.023622672034517688,0.022863568085844232,-0.06727298114881534,0.06001500414784292,-0.015605591084871856,1.0
0.05263897591538049,0.027664378057622417,0.048657448669533476,-0.12632725774043646,0.135872696209898,-0.058202887138995026,1.0
0.05392000275547307,0.032724589608894086,0.07470787855322472,-0.18430206178224626,0.21041382229216649,-0.10081963906314488,1.0
0.05520102959556565,0.038403770400528364,0.09988226163439058,-0.24662958306874327,0.2917403337509529,-0.14499301231660017,1.0
0.05648205643565823,0.0444624334099901,0.12668564061953508,-0.3009854993830424,0.36086928060910967,-0.18656942184560218,0.9999999999999999
0.057763083275750804,0.05076730227193661,0.1526257222002414,-0.3590151476660649,0.4345702682195732,-0.22818084275374964,1.0
0.05904411011584338,0.057236525057476055,0.17870206078940856,-0.4167794315948172,0.5086297857636668,-0.2705524149582584,1.0
0.06032513695593596,0.06382006547956653,0.2047188533582787,-0.47484302248117755,0.5831623555770492,-0.3130381864541503,1.0
0.06160616379602854,0.07048595544949773,0.23050839430198203,-0.5340057965021585,0.6593522664938893,-0.35585486429371277,1.0
