target_return,volatility,weight_HSREIT,weight_GOLD,weight_HSI,weight_SPX,weight_000012,weight_000852,weight_000905,weight_399300,weight_H11001
-0.011409851140351271,0.052932954905302795,0.26697178491617113,-0.1446759731422333,-0.06201520216255874,-0.2623913968424623,0.9999999999999999,0.07036641599095833,-0.08029884459370784,0.07451129396081375,0.13753192187301885
-0.007655722016249672,0.04939656977757356,0.2494054708607624,-0.13411753540388163,-0.058364487970333466,-0.24344557367701344,0.9999999999999998,0.06585794801865472,-0.0756557143898333,0.07072358780548947,0.12559630475615544
-0.003901592892148087,0.04586937387486259,0.2316327327579891,-0.1236890204365973,-0.05431768288233442,-0.22462769818945996,1.0,0.06117090861896042,-0.07085089036372788,0.0666399816590484,0.11404166883612178
-0.00014746376804648798,0.042353701447640585,0.21385336477517497,-0.11332206289923041,-0.04973238802343571,-0.20567073030858263,0.9999999999999998,0.05595691086200735,-0.0659521916988374,0.062400551754567664,0.10246654553833628
0.003606665356055097,0.03885199147883926,0.19607229545896626,-0.10354483465971431,-0.04642334603366684,-0.1868399791653032,1.0,0.05132565618975471,-0.061210320385228625,0.05887206617467174,0.09174846242052039
0.007360794480156696,0.03536915686614935,0.1783407712206299,-0.09336935111328,-0.04247581995194908,-0.16798861307175494,1.0,0.046444997515567826,-0.056442733904290845,0.05488502448546522,0.08060572481961178
0.011114923604258281,0.03191107374650092,0.16059272886016018,-0.08321297999461759,-0.03863265516634253,-0.14914093158176425,1.0,0.041838886460081014,-0.05188943769074103,0.05097461023792664,0.06946977887529729
0.01486905272835988,0.028486855485564594,0.14266969107014074,-0.07309396106495647,-0.03448184459296134,-0.1303618135087831,0.9999999999999999,0.03687309666667302,-0.046797126230327606,0.04683862563203313,0.058353332028181625
0.018623181852461465,0.025110214359566656,0.12492670087514839,-0.06307760710779396,-0.03070682169665349,-0.11144072032256032,1.0,0.031994711121468615,-0.041954277001662585,0.043023382303967114,0.04723463182808586
0.022377310976563064,0.021803434746340125,0.10725373953629133,-0.05267308177827985,-0.026582220521507192,-0.0925259377628822,1.0,0.02688116456632749,-0.03693127531480492,0.03893191462246244,0.03564569665239296
0.02613144010066465,0.018603510865625908,0.08971685203129941,-0.042553059906633564,-0.022952061013629777,-0.07341934036387827,0.9999999999999999,0.02258004011270074,-0.03278247539790848,0.03510840718569646,0.0243016373523536
0.029885569224766248,0.015576847964861126,0.07182748653881275,-0.0323268511693151,-0.01873407952946278,-0.0546648610983528,0.9999999999999999,0.017764570899847076,-0.0280894350432423,0.031072417360104247,0.013150752041609093
0.03363969834886783,0.012846068931579656,0.054048188185149205,-0.02266488556037698,-0.015046574965555224,-0.035532490660280476,0.9999999999999999,0.013105431987354125,-0.023499208728021068,0.02743821318392769,0.0021513265578028086
0.03739382747296943,0.010641736698262868,0.036232289993973606,-0.01224254176550683,-0.011109350988629007,-0.01692511202633411,1.0,0.00851364945913969,-0.01892207994638168,0.02346840485348982,-0.009015259579751274
0.04114795659707102,0.009344172432822815,0.01844142289022969,-0.002273082935635845,-0.007201467137299964,0.0019977172247623355,1.0,0.00356497978913006,-0.014063765830920722,0.019606792330914086,-0.020072596331179658
0.044902085721172616,0.0093396798761133,0.00021059929353390216,0.007803590416090998,-0.002721160970732458,0.020584199429160274,1.0,-0.0013436252760656445,-0.00905973920732029,0.01557390326023999,-0.031047766944906845
0.048656214845274215,0.01062884624031118,-0.017051231324375412,0.018059707605031613,0.0006480257130099701,0.03980141825930088,1.0,-0.006011947405306801,-0.00438350284004129,0.011541232172659477,-0.04260370218027853
0.0524103439693758,0.012827070991675156,-0.03468343163811881,0.027782779026620744,0.004666302748761754,0.058314286880062516,0.9899071804567414,-0.010770016545146291,-1.0124852502744423e-05,0.008081188911695727,-0.04328816498811423
0.056164473093477385,0.015436451925326836,-0.04947530387654709,0.03674778651184971,0.008378352608586043,0.07358794630964462,0.8793667491361873,-0.012227992596255134,-0.0009156450013805863,0.008825684319337015,0.055712422588578225
0.059918602217579,0.01821295364924731,-0.06431835821588767,0.0456020973110665,0.011979881088701171,0.08885023989034276,0.7698686743281713,-0.014069416110257447,-0.001247300441077767,0.009475523371112137,0.15385865877782887
0.06367273134168058,0.021090484267705017,-0.07923178493412783,0.05431748480902612,0.015840630735565013,0.1041024682295735,0.6592143348546396,-0.015280390331101356,-0.0026614775329506946,0.01029458349864429,0.25340415067073113
0.06742686046578217,0.02403288857427417,-0.09409745327232212,0.06307705264765559,0.019640297865033657,0.11938934379206317,0.548461766196853,-0.016503434667424564,-0.003992054430704061,0.011108942380239439,0.3529155394886058
0.07118098958988375,0.02702205312797604,-0.10878762531086537,0.07298736739663368,0.023488123562074085,0.13434522261883125,0.4445249299466436,-0.02346576143041523,0.003518213529072286,0.00876218928130387,0.44462734040672175
0.07493511871398537,0.030083288545371834,-0.12588956470665738,0.08311643131865737,0.027423266950495663,0.1534345860694028,0.4300791416610719,-0.02608040198341155,0.00526008637769534,0.005908773866531269,0.4467476804462146
0.07868924783808695,0.0330814829657737,-0.13915104825094016,0.08844508038627731,0.030871407356362734,0.16627232926991328,0.2216702319370506,-0.010311100124062179,-0.02284180104987478,0.018222317093076493,0.6468225833821968
0.08244337696218854,0.03613095008006336,-0.15321023897230182,0.09812519709784258,0.03449959118590187,0.18045700428987657,0.10315970578342519,-0.024790702850434845,-0.0038896955456083084,0.01262606281864176,0.753023076192657
0.08619750608629012,0.039199262155756566,-0.16885186736931226,0.10749298470726137,0.03871757725524572,0.19513615565329043,-0.0015385803309646562,-0.022895322293701812,-0.010047922483370074,0.015107114804059168,0.8468798600574922
0.08995163521039173,0.042277324428890664,-0.1834083664927265,0.11588912380951068,0.042271357736034194,0.21053063584662118,-0.11835959226947754,-0.02366455137827821,-0.012129504616227221,0.01637022452532745,0.9525006728392159
0.09370576433449332,0.04537053059371812,-0.1993352165449462,0.12507774249946307,0.046362488121217044,0.22840746285796587,-0.17828837568792508,-0.026387140075556738,-0.011083016521499123,0.015246055351281186,1.0
0.0974598934585949,0.048513437598689736,-0.21458444149944325,0.1375041797618478,0.04755324264930634,0.247072647779245,-0.19252089425219207,-0.031058795605371944,-0.0059116190112196145,0.01194568017782778,1.0
0.10121402258269649,0.05170151049242107,-0.23171908774236466,0.1488290948568681,0.052196938917440025,0.26586030253472653,-0.20686375945973418,-0.0370837207267049,-8.808172176070377e-05,0.008868313341529828,1.0
0.1049681517067981,0.05492815474635137,-0.24816090157549517,0.16031494650760988,0.05564291723168604,0.28490980362764606,-0.22126439020234495,-0.0417665635522737,0.004092261962076595,0.0062319260010951895,1.0
0.10872228083089969,0.05818675160892756,-0.2643758897324489,0.17192943561704582,0.05913672573060517,0.30418980488979475,-0.23607638529076083,-0.04628301525737307,0.007573731652729142,0.0039055923904077303,1.0
